"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","deposit"
57,"entrepreneur","married","unknown","no",657,"no","no","unknown",12,"jun",344,1,999,0,"unknown","no"
41,"admin.","married","secondary","no",683,"no","yes","cellular",20,"nov",77,1,999,0,"unknown","no"
43,"management","married","tertiary","no",-391,"yes","no","cellular",28,"jul",193,8,999,0,"unknown","no"
37,"blue-collar","married","unknown","no",-1050,"yes","no","unknown",2,"jun",548,2,999,0,"unknown","no"
57,"retired","married","secondary","no",519,"yes","no","unknown",3,"jun",393,3,999,0,"unknown","no"
48,"blue-collar","married","primary","no",237,"yes","no","unknown",19,"jun",18,18,999,0,"unknown","no"
48,"admin.","married","secondary","no",1060,"yes","no","cellular",20,"apr",87,2,318,3,"failure","no"
34,"blue-collar","divorced","secondary","no",0,"yes","no","cellular",5,"may",150,1,999,0,"unknown","no"
36,"technician","married","tertiary","no",1109,"no","no","cellular",13,"aug",328,2,999,0,"unknown","no"
53,"technician","divorced","secondary","no",751,"yes","no","unknown",16,"may",343,4,999,0,"unknown","no"
48,"blue-collar","married","primary","no",418,"yes","no","unknown",9,"may",102,3,999,0,"unknown","no"
39,"housemaid","married","primary","no",34,"yes","no","cellular",14,"jul",377,3,999,0,"unknown","no"
29,"blue-collar","married","secondary","no",-28,"yes","no","unknown",12,"may",393,1,999,0,"unknown","no"
51,"entrepreneur","single","tertiary","no",0,"no","no","cellular",30,"jan",643,1,999,0,"unknown","no"
40,"technician","married","secondary","no",66,"yes","no","unknown",12,"may",29,8,999,0,"unknown","no"
34,"blue-collar","married","secondary","no",157,"yes","no","cellular",11,"jul",254,2,999,0,"unknown","no"
60,"blue-collar","married","secondary","no",196,"no","no","unknown",20,"jun",583,3,999,0,"unknown","no"
34,"admin.","married","tertiary","no",35,"yes","no","cellular",15,"oct",76,1,69,2,"failure","no"
47,"entrepreneur","divorced","secondary","no",392,"yes","yes","cellular",19,"nov",125,1,999,0,"unknown","no"
54,"technician","married","secondary","no",3323,"yes","yes","cellular",8,"apr",59,3,999,0,"unknown","no"
60,"self-employed","married","primary","no",46,"yes","no","unknown",6,"may",202,4,999,0,"unknown","no"
58,"entrepreneur","married","tertiary","no",2920,"yes","no","unknown",9,"jun",136,1,999,0,"unknown","no"
34,"blue-collar","married","tertiary","no",17672,"no","no","cellular",20,"nov",548,1,999,0,"unknown","no"
36,"student","single","unknown","no",172,"no","no","unknown",12,"jun",81,1,999,0,"unknown","no"
28,"blue-collar","single","secondary","no",455,"yes","no","cellular",11,"jul",166,1,999,0,"unknown","no"
31,"blue-collar","married","secondary","no",255,"yes","yes","cellular",18,"may",295,1,999,0,"unknown","no"
33,"blue-collar","single","secondary","no",1387,"no","no","cellular",5,"feb",185,1,999,0,"unknown","no"
38,"management","married","tertiary","no",676,"no","no","cellular",15,"may",59,3,999,0,"unknown","no"
55,"retired","divorced","tertiary","no",816,"no","no","cellular",18,"nov",113,3,999,0,"unknown","no"
33,"technician","single","tertiary","no",538,"yes","no","unknown",29,"may",359,2,999,0,"unknown","no"
50,"management","divorced","tertiary","no",299,"no","no","cellular",17,"nov",666,3,999,0,"unknown","no"
46,"self-employed","married","primary","no",3262,"no","no","cellular",14,"aug",77,8,999,0,"unknown","no"
37,"admin.","married","secondary","no",0,"yes","no","cellular",22,"jul",185,1,999,0,"unknown","no"
32,"management","married","tertiary","no",62,"yes","no","telephone",13,"nov",45,1,999,0,"unknown","no"
35,"entrepreneur","single","tertiary","no",1800,"yes","no","unknown",5,"jun",53,1,999,0,"unknown","no"
42,"management","divorced","tertiary","no",0,"no","no","unknown",19,"may",131,2,999,0,"unknown","no"
32,"blue-collar","married","secondary","no",4996,"yes","no","unknown",20,"may",205,2,999,0,"unknown","no"
53,"blue-collar","married","primary","no",1388,"no","no","cellular",7,"aug",139,4,999,0,"unknown","no"
26,"services","divorced","primary","no",633,"yes","no","unknown",27,"may",326,2,999,0,"unknown","no"
43,"technician","divorced","tertiary","no",101,"no","no","cellular",19,"aug",173,3,999,0,"unknown","no"
47,"management","married","secondary","no",21,"yes","no","cellular",18,"nov",229,2,999,0,"unknown","no"
42,"management","married","tertiary","no",0,"no","no","cellular",6,"aug",81,3,999,0,"unknown","no"
51,"management","single","unknown","no",-461,"yes","no","unknown",28,"may",33,2,999,0,"unknown","no"
30,"self-employed","single","secondary","no",1031,"no","no","unknown",20,"oct",7,1,999,0,"unknown","no"
27,"student","single","tertiary","no",24,"yes","no","cellular",2,"feb",344,2,999,0,"unknown","no"
46,"technician","married","secondary","no",190,"yes","no","cellular",12,"aug",370,2,999,0,"unknown","no"
36,"management","married","tertiary","no",659,"no","no","cellular",28,"aug",90,13,999,0,"unknown","no"
29,"services","single","secondary","no",20,"yes","no","unknown",15,"may",431,1,999,0,"unknown","no"
41,"technician","married","secondary","no",871,"yes","no","unknown",6,"may",145,1,999,0,"unknown","no"
60,"self-employed","married","secondary","no",1690,"no","no","cellular",28,"aug",64,11,999,0,"unknown","no"
28,"blue-collar","married","secondary","no",4287,"no","no","cellular",30,"apr",171,1,999,0,"unknown","no"
33,"blue-collar","married","secondary","no",58,"no","no","unknown",16,"may",144,2,999,0,"unknown","no"
26,"blue-collar","single","secondary","no",-128,"no","yes","cellular",8,"jul",392,2,999,0,"unknown","no"
45,"blue-collar","divorced","secondary","no",756,"yes","no","unknown",6,"may",179,2,999,0,"unknown","no"
36,"management","married","tertiary","no",332,"yes","no","cellular",22,"may",566,7,999,0,"unknown","no"
39,"management","married","tertiary","no",309,"no","no","cellular",26,"aug",94,14,999,0,"unknown","no"
42,"unknown","single","unknown","yes",61,"no","no","unknown",20,"jun",115,1,999,0,"unknown","no"
31,"admin.","single","secondary","no",1129,"yes","no","cellular",18,"may",145,3,999,0,"unknown","no"
52,"management","married","tertiary","no",-2712,"yes","yes","cellular",2,"apr",253,1,999,0,"unknown","no"
43,"admin.","married","secondary","no",2682,"no","no","cellular",30,"jul",103,8,999,0,"unknown","no"
34,"blue-collar","married","secondary","no",-58,"yes","yes","unknown",28,"may",157,2,999,0,"unknown","no"
56,"services","married","unknown","no",616,"no","no","unknown",18,"jun",1812,1,999,0,"unknown","no"
59,"retired","married","secondary","no",417,"yes","no","cellular",7,"may",476,2,999,0,"unknown","no"
42,"technician","married","tertiary","no",-805,"no","no","cellular",8,"aug",103,6,999,0,"unknown","no"
42,"technician","married","secondary","no",1812,"yes","no","cellular",31,"jul",84,2,999,0,"unknown","no"
34,"blue-collar","married","secondary","no",2994,"yes","no","cellular",15,"may",358,1,176,1,"failure","no"
29,"management","married","tertiary","no",0,"yes","no","telephone",15,"jul",91,2,999,0,"unknown","no"
46,"entrepreneur","married","tertiary","no",4726,"yes","no","cellular",8,"apr",405,1,999,0,"unknown","no"
34,"management","single","tertiary","no",6766,"no","no","cellular",28,"aug",210,5,999,0,"unknown","no"
42,"technician","single","secondary","no",0,"yes","no","unknown",6,"may",293,1,999,0,"unknown","no"
45,"blue-collar","married","secondary","no",2071,"no","yes","telephone",22,"jul",1148,2,999,0,"unknown","no"
27,"management","single","secondary","no",967,"yes","no","unknown",21,"may",162,1,999,0,"unknown","no"
35,"management","married","tertiary","no",867,"yes","no","cellular",20,"nov",298,2,171,3,"success","no"
34,"management","single","tertiary","yes",621,"no","no","cellular",28,"aug",205,3,999,0,"unknown","no"
41,"admin.","single","secondary","no",2002,"yes","no","cellular",15,"may",172,2,350,1,"failure","no"
49,"technician","married","secondary","no",1091,"no","no","telephone",30,"jul",47,2,999,0,"unknown","no"
37,"blue-collar","married","secondary","no",2697,"yes","no","cellular",20,"apr",430,1,999,0,"unknown","no"
36,"management","divorced","tertiary","no",14930,"no","no","cellular",23,"jul",190,1,999,0,"unknown","no"
40,"management","divorced","tertiary","no",37,"yes","no","unknown",16,"may",412,1,999,0,"unknown","no"
35,"blue-collar","married","primary","no",0,"no","no","cellular",31,"jul",57,4,999,0,"unknown","no"
47,"technician","married","secondary","no",-9,"no","no","cellular",14,"aug",457,2,999,0,"unknown","no"
38,"technician","married","secondary","no",2767,"yes","no","cellular",21,"nov",711,2,999,0,"unknown","no"
40,"technician","single","secondary","no",153,"no","no","cellular",7,"aug",125,2,999,0,"unknown","no"
59,"management","married","primary","no",2769,"yes","no","cellular",19,"nov",104,1,131,2,"failure","no"
70,"retired","divorced","primary","no",383,"no","no","cellular",28,"apr",50,2,999,0,"unknown","no"
25,"admin.","single","tertiary","no",220,"no","no","cellular",26,"may",68,1,999,0,"unknown","no"
27,"self-employed","single","tertiary","no",147,"no","no","cellular",22,"jun",111,5,999,0,"unknown","no"
50,"admin.","married","secondary","no",1138,"yes","yes","cellular",31,"jul",73,8,999,0,"unknown","no"
36,"admin.","married","secondary","no",286,"yes","no","cellular",22,"jul",167,9,999,0,"unknown","no"
45,"admin.","married","secondary","no",111,"yes","no","cellular",11,"aug",173,1,999,0,"unknown","no"
28,"unemployed","married","secondary","no",-42,"yes","yes","cellular",31,"jul",143,4,999,0,"unknown","no"
36,"management","married","tertiary","no",3874,"no","no","cellular",25,"aug",425,6,999,0,"unknown","no"
70,"retired","married","primary","no",3230,"no","no","cellular",24,"nov",112,1,999,0,"unknown","no"
75,"retired","married","primary","no",3324,"no","no","cellular",2,"feb",149,1,999,0,"unknown","no"
34,"blue-collar","single","secondary","no",2764,"yes","no","cellular",13,"may",158,1,357,1,"failure","no"
36,"admin.","married","secondary","no",465,"yes","no","unknown",20,"may",160,1,999,0,"unknown","no"
32,"unemployed","married","secondary","no",365,"yes","no","cellular",30,"jan",210,3,999,0,"unknown","no"
33,"management","single","secondary","no",0,"no","no","unknown",20,"may",190,2,999,0,"unknown","no"
34,"admin.","married","secondary","no",445,"no","no","cellular",19,"aug",256,2,999,0,"unknown","no"
38,"management","married","secondary","no",93,"no","no","unknown",3,"jul",515,2,999,0,"unknown","no"
25,"technician","single","tertiary","no",800,"yes","no","unknown",13,"may",151,4,999,0,"unknown","no"
46,"admin.","married","secondary","no",179,"yes","no","cellular",29,"jan",194,4,436,1,"other","no"
45,"services","married","secondary","no",222,"no","no","cellular",25,"aug",119,11,999,0,"unknown","no"
38,"housemaid","divorced","tertiary","no",4312,"no","no","cellular",15,"may",67,4,175,6,"failure","no"
40,"services","married","secondary","no",1305,"no","no","cellular",22,"jul",255,1,999,0,"unknown","no"
48,"management","married","tertiary","no",20718,"yes","no","unknown",14,"may",125,1,999,0,"unknown","no"
40,"admin.","married","secondary","no",732,"no","no","cellular",9,"sep",71,1,139,4,"success","no"
40,"management","married","tertiary","no",4381,"no","no","telephone",29,"jul",126,2,999,0,"unknown","no"
38,"blue-collar","married","secondary","no",0,"yes","no","unknown",9,"jun",254,1,999,0,"unknown","no"
40,"blue-collar","single","unknown","no",29,"no","no","telephone",7,"jul",118,2,999,0,"unknown","no"
48,"self-employed","married","secondary","no",1559,"no","no","cellular",24,"dec",520,3,133,3,"failure","no"
54,"blue-collar","married","primary","no",244,"yes","no","cellular",29,"jul",337,2,999,0,"unknown","no"
62,"retired","married","primary","no",1515,"yes","no","cellular",19,"oct",131,1,187,2,"failure","no"
40,"blue-collar","married","primary","no",104,"yes","no","unknown",26,"may",470,2,999,0,"unknown","no"
47,"blue-collar","married","secondary","no",1388,"yes","no","cellular",17,"apr",119,2,999,0,"unknown","no"
45,"admin.","single","secondary","no",375,"no","yes","unknown",22,"sep",10,1,594,6,"failure","no"
46,"entrepreneur","married","secondary","no",122,"no","no","cellular",6,"feb",1047,2,1,7,"failure","no"
45,"services","married","secondary","no",0,"no","no","cellular",11,"jul",106,2,999,0,"unknown","no"
33,"technician","married","secondary","no",0,"yes","yes","cellular",19,"nov",163,2,999,0,"unknown","no"
50,"management","married","secondary","no",2910,"no","no","telephone",19,"nov",433,1,113,1,"failure","no"
55,"unemployed","married","tertiary","no",5345,"no","no","unknown",6,"may",278,1,999,0,"unknown","no"
78,"retired","divorced","unknown","no",2628,"no","no","telephone",14,"apr",129,2,999,0,"unknown","no"
39,"services","married","secondary","no",0,"yes","no","cellular",8,"may",503,1,999,0,"unknown","no"
35,"management","married","secondary","no",97,"yes","no","unknown",29,"may",135,4,999,0,"unknown","no"
32,"admin.","married","secondary","no",0,"no","no","cellular",25,"jul",209,1,999,0,"unknown","no"
42,"technician","married","tertiary","no",13410,"no","yes","cellular",14,"aug",149,2,999,0,"unknown","no"
55,"management","single","secondary","no",220,"yes","no","unknown",6,"may",328,2,999,0,"unknown","no"
52,"admin.","married","secondary","no",-462,"yes","no","cellular",9,"feb",172,5,999,0,"unknown","no"
26,"student","single","unknown","no",19,"no","no","telephone",30,"apr",268,1,999,0,"unknown","no"
36,"services","married","tertiary","no",0,"yes","no","cellular",8,"may",52,1,999,0,"unknown","no"
31,"services","single","secondary","no",629,"yes","no","unknown",21,"may",369,2,999,0,"unknown","no"
38,"technician","married","tertiary","no",-1,"no","no","cellular",8,"aug",188,4,999,0,"unknown","no"
29,"admin.","single","secondary","no",-194,"yes","no","cellular",7,"may",127,1,999,0,"unknown","no"
53,"blue-collar","married","primary","no",2295,"no","no","cellular",21,"aug",65,10,999,0,"unknown","no"
40,"admin.","single","unknown","no",355,"yes","no","cellular",7,"apr",345,2,138,6,"other","no"
36,"blue-collar","married","primary","no",243,"yes","yes","unknown",30,"may",118,2,999,0,"unknown","no"
46,"management","married","unknown","no",802,"yes","no","telephone",25,"jul",417,1,999,0,"unknown","no"
40,"services","married","secondary","no",9374,"yes","no","cellular",21,"nov",7,8,185,1,"failure","no"
45,"management","married","tertiary","yes",-577,"yes","yes","cellular",24,"jul",204,1,999,0,"unknown","no"
38,"management","married","tertiary","no",1101,"yes","no","telephone",9,"nov",43,1,999,0,"unknown","no"
38,"admin.","married","primary","no",1487,"no","no","unknown",9,"jun",332,2,999,0,"unknown","no"
33,"management","single","tertiary","no",0,"no","no","cellular",27,"aug",191,4,999,0,"unknown","no"
36,"admin.","single","secondary","no",1281,"no","no","telephone",24,"jul",119,2,999,0,"unknown","no"
34,"technician","married","secondary","no",-259,"yes","no","unknown",27,"may",124,2,999,0,"unknown","no"
31,"admin.","married","secondary","no",298,"yes","yes","unknown",26,"may",518,1,999,0,"unknown","no"
30,"blue-collar","married","primary","no",2607,"yes","no","unknown",28,"may",158,10,999,0,"unknown","no"
41,"services","married","secondary","no",2399,"yes","no","cellular",15,"may",303,2,351,2,"failure","no"
40,"management","single","secondary","no",10378,"yes","no","cellular",17,"nov",523,3,999,0,"unknown","no"
49,"services","married","tertiary","no",411,"no","no","telephone",14,"may",9,6,999,0,"unknown","no"
19,"student","single","secondary","no",55,"no","no","telephone",6,"oct",89,2,193,1,"other","no"
51,"blue-collar","married","tertiary","no",7816,"yes","no","unknown",12,"may",76,2,999,0,"unknown","no"
51,"blue-collar","married","unknown","no",41,"yes","no","telephone",9,"jul",16,43,999,0,"unknown","no"
42,"management","married","secondary","no",372,"yes","no","telephone",31,"jul",130,8,999,0,"unknown","no"
30,"admin.","divorced","secondary","no",83,"yes","yes","unknown",6,"may",310,1,999,0,"unknown","no"
26,"technician","single","secondary","no",-211,"yes","no","unknown",23,"may",164,3,999,0,"unknown","no"
77,"retired","married","primary","no",1492,"no","no","telephone",1,"sep",663,1,208,2,"other","no"
59,"housemaid","married","tertiary","no",0,"no","yes","cellular",29,"jul",376,2,999,0,"unknown","no"
55,"unemployed","married","primary","no",1221,"no","yes","cellular",8,"jul",108,1,999,0,"unknown","no"
40,"technician","married","secondary","no",372,"yes","no","cellular",21,"nov",365,1,100,2,"failure","no"
52,"management","married","secondary","no",173,"no","no","unknown",23,"may",48,5,999,0,"unknown","no"
37,"housemaid","married","secondary","no",187,"no","no","unknown",12,"jun",165,1,999,0,"unknown","no"
57,"management","divorced","unknown","no",0,"no","no","unknown",13,"may",95,1,999,0,"unknown","no"
42,"unemployed","married","primary","yes",-581,"yes","no","cellular",13,"may",224,1,370,2,"failure","no"
26,"blue-collar","single","secondary","no",396,"yes","no","unknown",28,"may",302,1,999,0,"unknown","no"
32,"management","divorced","tertiary","no",12,"no","no","cellular",17,"jul",321,1,999,0,"unknown","no"
45,"unemployed","single","primary","no",8725,"no","no","cellular",8,"jul",286,2,999,0,"unknown","no"
33,"technician","married","secondary","no",2362,"yes","no","cellular",26,"aug",271,4,999,0,"unknown","no"
37,"technician","married","secondary","no",494,"yes","no","cellular",2,"feb",247,2,269,3,"failure","no"
30,"management","single","tertiary","no",2,"no","no","cellular",23,"mar",269,1,999,0,"unknown","no"
54,"retired","married","secondary","no",3846,"yes","yes","unknown",19,"jun",216,2,999,0,"unknown","no"
43,"blue-collar","married","primary","no",18,"yes","no","cellular",14,"may",131,2,370,3,"other","no"
59,"admin.","married","secondary","no",1365,"no","no","unknown",19,"jun",327,1,999,0,"unknown","no"
44,"admin.","married","secondary","no",0,"no","no","cellular",31,"jul",209,1,999,0,"unknown","no"
53,"management","married","tertiary","no",1945,"no","no","telephone",7,"aug",262,7,999,0,"unknown","no"
51,"housemaid","married","primary","no",1337,"no","no","telephone",30,"jul",74,6,999,0,"unknown","no"
48,"management","divorced","secondary","no",17,"yes","no","cellular",17,"nov",195,1,999,0,"unknown","no"
47,"blue-collar","married","secondary","no",1536,"yes","no","cellular",17,"apr",41,1,301,4,"other","no"
58,"technician","married","secondary","no",0,"yes","no","cellular",15,"jul",53,1,999,0,"unknown","no"
36,"admin.","single","secondary","no",449,"yes","no","unknown",20,"jun",136,3,999,0,"unknown","no"
55,"blue-collar","divorced","secondary","no",7378,"no","no","unknown",14,"may",316,3,999,0,"unknown","no"
20,"student","single","primary","no",134,"no","no","cellular",12,"jul",273,1,277,3,"other","no"
51,"housemaid","married","primary","no",108,"no","no","unknown",16,"jun",278,2,999,0,"unknown","no"
43,"management","married","tertiary","no",46,"no","no","cellular",27,"aug",63,8,999,0,"unknown","no"
34,"management","single","tertiary","no",0,"yes","no","unknown",21,"may",759,1,999,0,"unknown","no"
32,"management","single","tertiary","no",597,"no","yes","cellular",24,"jul",869,1,999,0,"unknown","no"
29,"technician","single","secondary","no",544,"yes","no","unknown",13,"may",360,1,999,0,"unknown","no"
54,"management","married","tertiary","no",588,"no","no","cellular",13,"aug",327,1,999,0,"unknown","no"
55,"technician","married","unknown","no",574,"yes","no","cellular",29,"jan",243,2,999,0,"unknown","no"
57,"management","married","secondary","no",123,"no","no","cellular",2,"feb",154,2,999,0,"unknown","no"
33,"admin.","married","secondary","no",177,"yes","no","cellular",11,"may",100,1,999,0,"unknown","no"
42,"blue-collar","married","secondary","no",1297,"yes","no","cellular",3,"apr",697,2,999,0,"unknown","no"
54,"retired","married","secondary","no",1851,"no","no","unknown",11,"jun",296,3,999,0,"unknown","no"
36,"entrepreneur","single","tertiary","no",658,"yes","no","unknown",16,"jun",61,3,999,0,"unknown","no"
42,"blue-collar","married","secondary","no",1958,"yes","no","unknown",30,"may",124,3,999,0,"unknown","no"
30,"technician","married","secondary","no",4,"yes","no","cellular",8,"may",17,5,999,0,"unknown","no"
26,"management","single","tertiary","no",7628,"no","no","cellular",1,"apr",263,1,999,0,"unknown","no"
28,"admin.","married","tertiary","no",174,"yes","yes","cellular",11,"feb",56,1,184,2,"failure","no"
38,"blue-collar","single","unknown","no",495,"yes","no","unknown",8,"may",297,1,999,0,"unknown","no"
23,"management","single","tertiary","no",2605,"yes","no","unknown",7,"may",278,6,999,0,"unknown","no"
45,"management","married","tertiary","no",2220,"yes","no","cellular",11,"jul",128,2,999,0,"unknown","no"
32,"technician","single","tertiary","no",390,"yes","no","unknown",23,"may",85,1,999,0,"unknown","no"
50,"management","married","tertiary","no",101,"yes","no","unknown",15,"may",348,1,999,0,"unknown","no"
33,"technician","married","secondary","no",3572,"yes","no","cellular",18,"nov",85,2,999,0,"unknown","no"
34,"admin.","married","secondary","no",384,"yes","no","cellular",14,"may",551,2,999,0,"unknown","no"
44,"housemaid","married","primary","no",3706,"no","no","unknown",17,"jun",209,3,999,0,"unknown","no"
60,"retired","married","primary","no",894,"yes","no","unknown",15,"may",65,7,999,0,"unknown","no"
43,"self-employed","married","tertiary","no",3003,"no","no","cellular",8,"aug",358,3,999,0,"unknown","no"
32,"technician","single","secondary","no",-114,"no","no","cellular",12,"aug",155,2,999,0,"unknown","no"
46,"technician","married","tertiary","no",0,"no","no","unknown",6,"jun",159,1,999,0,"unknown","no"
38,"self-employed","divorced","secondary","no",0,"yes","no","cellular",20,"apr",84,1,999,0,"unknown","no"
36,"technician","married","secondary","no",22,"no","no","unknown",6,"jun",464,1,999,0,"unknown","no"
35,"technician","married","secondary","no",6,"yes","no","cellular",11,"may",204,2,348,2,"failure","no"
45,"blue-collar","married","secondary","no",521,"yes","no","unknown",17,"jun",259,3,999,0,"unknown","no"
24,"admin.","married","secondary","no",0,"yes","no","cellular",16,"apr",284,1,999,0,"unknown","no"
42,"admin.","married","secondary","no",-1386,"yes","yes","cellular",15,"jul",56,4,999,0,"unknown","no"
36,"blue-collar","married","secondary","no",153,"yes","no","cellular",8,"may",263,1,171,2,"failure","no"
31,"admin.","single","secondary","no",387,"yes","no","cellular",13,"may",228,2,370,1,"failure","no"
31,"blue-collar","married","secondary","no",-190,"yes","yes","cellular",8,"may",299,3,999,0,"unknown","no"
48,"blue-collar","married","secondary","no",1513,"no","yes","cellular",17,"jul",1171,1,999,0,"unknown","no"
28,"services","single","secondary","no",525,"no","no","cellular",23,"jul",81,1,999,0,"unknown","no"
33,"management","single","tertiary","no",369,"no","no","cellular",25,"aug",143,10,999,0,"unknown","no"
49,"blue-collar","married","primary","no",1032,"yes","no","unknown",2,"jun",41,5,999,0,"unknown","no"
29,"housemaid","married","primary","no",417,"no","no","cellular",23,"jul",108,2,999,0,"unknown","no"
28,"management","single","tertiary","no",320,"yes","no","cellular",30,"apr",239,1,999,0,"unknown","no"
43,"unemployed","married","primary","no",9,"yes","yes","cellular",6,"may",472,1,999,0,"unknown","no"
54,"technician","single","secondary","no",198,"yes","yes","cellular",17,"nov",120,1,171,2,"failure","no"
56,"blue-collar","married","primary","no",0,"yes","no","cellular",17,"jul",82,1,999,0,"unknown","no"
43,"entrepreneur","married","primary","no",2315,"yes","yes","cellular",14,"may",42,1,999,0,"unknown","no"
35,"entrepreneur","single","secondary","no",866,"yes","no","cellular",19,"nov",147,1,999,0,"unknown","no"
33,"unemployed","single","tertiary","no",157,"yes","no","unknown",26,"may",897,5,999,0,"unknown","no"
30,"management","single","tertiary","no",277,"yes","no","cellular",8,"may",166,1,42,1,"other","no"
45,"self-employed","married","tertiary","no",-497,"yes","yes","cellular",20,"nov",260,1,999,0,"unknown","no"
51,"management","married","tertiary","no",-3,"no","no","cellular",21,"aug",79,2,999,0,"unknown","no"
47,"blue-collar","married","primary","no",292,"no","yes","telephone",28,"jul",210,3,999,0,"unknown","no"
53,"blue-collar","married","secondary","no",1093,"yes","yes","unknown",16,"jun",244,3,999,0,"unknown","no"
45,"management","married","primary","no",321,"yes","no","cellular",30,"jul",918,4,999,0,"unknown","no"
36,"services","single","secondary","no",760,"no","no","unknown",20,"jun",9,13,999,0,"unknown","no"
31,"management","single","tertiary","no",30,"no","no","cellular",8,"aug",161,2,999,0,"unknown","no"
38,"services","married","secondary","no",8876,"no","no","cellular",19,"nov",636,1,999,0,"unknown","no"
49,"blue-collar","married","secondary","no",388,"no","no","telephone",17,"jul",265,2,999,0,"unknown","no"
59,"admin.","married","secondary","no",1575,"yes","no","cellular",12,"may",301,3,263,11,"success","no"
47,"blue-collar","married","secondary","no",2775,"no","no","unknown",14,"may",262,1,999,0,"unknown","no"
56,"blue-collar","married","secondary","no",771,"yes","yes","unknown",19,"jun",254,1,999,0,"unknown","no"
39,"blue-collar","married","primary","no",867,"yes","no","unknown",7,"may",481,1,999,0,"unknown","no"
26,"technician","single","secondary","no",84,"yes","no","cellular",29,"jul",70,3,999,0,"unknown","no"
32,"unemployed","married","secondary","no",2996,"yes","no","unknown",19,"may",68,1,999,0,"unknown","no"
38,"blue-collar","married","secondary","no",67,"no","no","cellular",28,"jan",74,1,239,2,"failure","no"
40,"blue-collar","divorced","unknown","no",528,"yes","no","cellular",13,"may",340,2,357,5,"failure","no"
26,"student","single","unknown","no",198,"no","no","cellular",5,"feb",161,1,999,0,"unknown","no"
36,"blue-collar","married","secondary","no",6699,"yes","no","cellular",20,"apr",201,3,999,0,"unknown","no"
40,"management","married","tertiary","no",2487,"no","no","cellular",30,"apr",126,1,999,0,"unknown","no"
67,"admin.","married","primary","no",1093,"no","no","telephone",8,"jul",64,3,999,0,"unknown","no"
47,"management","married","tertiary","no",761,"yes","no","cellular",11,"jul",80,2,999,0,"unknown","no"
25,"blue-collar","married","secondary","no",758,"yes","no","unknown",28,"may",504,3,999,0,"unknown","no"
36,"management","married","tertiary","no",532,"yes","no","cellular",14,"may",603,1,999,0,"unknown","no"
38,"technician","divorced","secondary","no",-397,"yes","yes","cellular",21,"jul",91,9,999,0,"unknown","no"
46,"blue-collar","married","primary","no",557,"no","no","unknown",18,"jun",89,1,999,0,"unknown","no"
51,"blue-collar","married","secondary","no",814,"yes","no","cellular",14,"may",17,8,999,0,"unknown","no"
41,"technician","single","secondary","no",769,"no","yes","cellular",20,"nov",222,4,98,4,"other","no"
37,"management","divorced","tertiary","no",1170,"yes","yes","cellular",18,"may",106,1,999,0,"unknown","no"
34,"technician","single","tertiary","no",9851,"yes","no","cellular",20,"nov",128,5,999,0,"unknown","no"
47,"blue-collar","married","secondary","no",3237,"yes","no","unknown",15,"may",198,3,999,0,"unknown","no"
34,"technician","single","tertiary","no",2658,"yes","no","cellular",31,"mar",265,1,230,2,"failure","no"
56,"blue-collar","married","secondary","no",385,"no","no","cellular",20,"aug",210,3,999,0,"unknown","no"
56,"management","divorced","tertiary","no",2037,"no","no","cellular",6,"may",160,1,91,5,"success","no"
34,"services","married","secondary","no",1182,"yes","no","unknown",28,"may",124,1,999,0,"unknown","no"
39,"services","married","secondary","no",207,"no","no","unknown",6,"jun",78,2,999,0,"unknown","no"
35,"management","single","tertiary","no",837,"no","no","cellular",4,"aug",329,1,999,0,"unknown","no"
57,"management","married","tertiary","no",350,"no","no","telephone",4,"may",87,3,999,0,"unknown","no"
39,"technician","divorced","secondary","no",1270,"yes","no","unknown",29,"may",245,4,999,0,"unknown","no"
56,"housemaid","divorced","primary","no",61,"no","no","cellular",2,"jun",144,1,999,0,"unknown","no"
24,"student","single","secondary","no",423,"yes","no","unknown",5,"may",226,3,999,0,"unknown","no"
36,"management","married","tertiary","no",8564,"yes","no","unknown",23,"may",125,1,999,0,"unknown","no"
38,"management","married","tertiary","no",0,"yes","no","unknown",20,"jun",211,2,999,0,"unknown","no"
44,"management","married","tertiary","no",1850,"yes","no","cellular",6,"may",274,1,999,0,"unknown","no"
35,"management","single","tertiary","no",62,"yes","no","cellular",5,"may",214,4,15,3,"success","no"
52,"unemployed","married","secondary","no",2251,"yes","no","unknown",3,"jun",58,9,999,0,"unknown","no"
53,"management","married","tertiary","no",800,"no","no","cellular",18,"nov",90,1,999,0,"unknown","no"
36,"blue-collar","married","secondary","no",1088,"yes","no","cellular",13,"may",77,2,345,2,"failure","no"
41,"entrepreneur","married","tertiary","no",306,"yes","no","unknown",20,"jun",102,3,999,0,"unknown","no"
42,"housemaid","married","primary","no",1371,"no","no","unknown",18,"jun",125,8,999,0,"unknown","no"
29,"management","single","tertiary","no",92,"no","no","cellular",2,"jun",101,1,92,5,"success","no"
19,"student","single","unknown","no",60,"no","no","cellular",14,"aug",253,1,999,0,"unknown","no"
32,"student","married","secondary","no",833,"yes","no","telephone",2,"nov",227,5,164,3,"other","no"
39,"services","divorced","secondary","no",282,"yes","no","cellular",17,"jul",243,1,999,0,"unknown","no"
51,"blue-collar","married","secondary","no",4695,"no","no","cellular",29,"aug",8,10,999,0,"unknown","no"
